Job Title,Date Published,Job Type,Company Name,Contingency,Location Full,URL,Perks (coming soon),Seniority,Seniority slug,Functional Area,Functional Area Slug,ID
Software Development Engineer,08/27/2023,Full Time,Amazon,No,TN-Nashville ; TX-Austin ; WA-Seattle ;,https://www.amazon.jobs/en/jobs/2229899/software-development-engineer,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,Engineering,engineering,1
Security Architect,08/03/2023,Full Time,American Tower Corporation,No,MA-Other ;,https://www.americantower.com/,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity,2
"Director of Product Management, Growth and Adoption",08/23/2023,Full Time,Asana,No,CA-San Francisco ;,https://boards.greenhouse.io/asana?gh_src=77d2661c1us,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Management,z-management,Product,product,3
"Director of Product Management, Orchestrate",08/23/2023,Full Time,Asana,No,CA-San Francisco ;,https://boards.greenhouse.io/asana?gh_src=77d2661c1us,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Product,product,4
Senior Software Engineer,08/13/2023,Internship,Asana,No,IL-Chicago ;,https://www.mcmaster.com/careers,,Mid Level,mid-level,Engineering,engineering,5
Data Integration Specialist,08/28/2023,Full Time,Black Knight,No,Remote ; Hybrid ;,https://blackknight.wd1.myworkdayjobs.com/BKC/0/refreshFacet/318c8bb6f553100021d223d9780d30be,,Mid Level,mid-level,Data & Analytics,data-analytics,6
Lead Software Engineer - Identity (Remote),08/13/2023,Full Time,Black Rock,No,Remote ;,https://newrelic.com/,remotefriendly ; unlimitedvacation ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,7
Senior Android Developer,08/03/2023,Temporary,Bounteous,Yes,Mexico ; Mexico-Remote ;,https://www.bounteous.com,,Senior Level,senior-level,IT & Cybersecurity,it-cybersecurity,8
Sr Mobile UX/UI Designer,08/30/2023,Internship,Charles Schwab,No,AZ-Phoenix ; CA-San Francisco ; FL-Orlando ; IL-Chicago ; IN-Indianapolis ; MI-Other ; MO-St. Louis ; NJ-Jersey City ; TX-Austin ; TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Design,design,9
Project Manager,08/30/2023,Full Time,Charles Schwab,No,CO-Denver ; TX-Austin ; TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Project Management,project-management,10
Product Owner,08/30/2023,Full Time,Charles Schwab,No,Remote ; AZ-Phoenix ; CA-San Francisco ; CO-Denver ; IL-Chicago ; TX-Austin ; TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Other,zother,11
Remote Senior .NET Developer,08/21/2023,Full Time,Charles Schwab,No,Remote ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,12
Senior DLP Engineer,08/21/2023,Freelance,Charles Schwab,Yes,Remote ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,13
Senior Software Engineer (Java),08/19/2023,Full Time,Charles Schwab,No,TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Senior Level,senior-level,Engineering,engineering,14
.NET Developer III,08/19/2023,Full Time,Charles Schwab,No,TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,IT & Cybersecurity,it-cybersecurity,15
Salesforce Developer,08/19/2023,Temporary,Charles Schwab,Yes,AZ-Phoenix ; NE-Omaha ; TX-Austin ; TX-Dallas ;,https://jobs.schwabjobs.com/,remotefriendly ; paidparentalleave ; latinxintech ; womenintecherg ; lgbtqierg-2 ;,Mid Level,mid-level,IT & Cybersecurity,it-cybersecurity,16
Marketing Operations Manager,08/23/2023,Internship,Chronosphere,No,Remote ;,https://chronosphere.io/,,Mid Level,mid-level,Marketing,marketing,17
Website Marketing Manager,08/23/2023,Internship,Chronosphere,No,Remote ;,https://chronosphere.io/,,Junior Level,entry-level,Marketing,marketing,18
Senior Product Designer,08/14/2023,Full Time,Chronosphere,No,Remote ;,https://chronosphere.io/,,Mid Level,mid-level,Product,product,19
Workplace Experience Manager,08/14/2023,Freelance,Chronosphere,Yes,NY-New York City ;,https://chronosphere.io/,,Junior Level,entry-level,People Ops,people-ops,20
Senior Software Engineer - Platform,08/12/2023,Full Time,Chronosphere,No,Remote ;,https://chronosphere.io/,,Mid Level,mid-level,Engineering,engineering,21
Senior Software Engineer - Infrastructure,08/12/2023,Freelance,Chronosphere,Yes,Remote ;,https://chronosphere.io/,,Mid Level,mid-level,Engineering,engineering***,22
Mobile App Product Manager,08/19/2023,Full Time,Common Sense Media,No,Remote ;,http://www.commonsensemedia.org,,Mid Level,mid-level,Engineering,engineering,23
Nonprofit Success Manager,08/14/2023,Full Time,Community First Foundation,No,Hybrid ; CO-Denver ;,https://www.communityfirstfoundation.org/,,Mid Level,mid-level,Support,support,24
Senior Technical Writer,08/14/2023,Temporary,CrowdStrike,Yes,Remote ;,https://www.crowdstrike.com/careers/,remotefriendly ; paidparentalleave ; ,Junior Level,entry-level,Product,product,25
Senior Software Engineer - Frontend,08/14/2023,Freelance,CrowdStrike,Yes,Remote ;,https://www.crowdstrike.com/careers/,remotefriendly ; paidparentalleave ; ,Mid Level,mid-level,Engineering,engineering,26
Head of Corporate Communications,08/14/2023,Full Time,CrowdStrike,No,Remote ;,https://www.crowdstrike.com/careers/,remotefriendly ; paidparentalleave ; ,Management,z-management,Marketing,marketing,27
Sr Manager GTM G&A Talent Team,08/14/2023,Full Time,CrowdStrike,No,Remote ;,https://www.crowdstrike.com/careers/,remotefriendly ; paidparentalleave ; ,Mid Level,mid-level,People Ops,people-ops,28
